"SDO_ID","SDO_Name","Geogr_Laenge","Geogr_Breite","Hoehe_ueber_NN","Metadata_Link"
"4094","Weingarten, Kr. Ravensburg","9,6206","47,8062","441.0","https://cdc.dwd.de/rest/metadata/station/html/812300126695"
"3660","Nürburg-Barweiler","6,8697","50,3602","485.0","https://cdc.dwd.de/rest/metadata/station/html/812300285159"
"6199","Steinhagen-Negast","13,0419","54,2484","16.0","https://cdc.dwd.de/rest/metadata/station/html/812300725607"
"1103","Ebersberg-Halbing","11,9872","48,1003","592.0","https://cdc.dwd.de/rest/metadata/station/html/812300492263"
"953","Deuselbach","7,0542","49,7619","480.0","https://cdc.dwd.de/rest/metadata/station/html/812300811047"
"7341","Offenbach-Wetterpark","8,7862","50,0900","119.0","https://cdc.dwd.de/rest/metadata/station/html/812300365031"
"880","Cottbus","14,3168","51,7759","69.0","https://cdc.dwd.de/rest/metadata/station/html/812300907751"
"7105","Siegsdorf-Höll","12,6548","47,8350","719.0","https://cdc.dwd.de/rest/metadata/station/html/812300078055"
"1602","Ohlsbach","7,9930","48,4330","177.0","https://cdc.dwd.de/rest/metadata/station/html/812300709351"
"2497","Kall-Sistig","6,5264","50,5014","505.0","https://cdc.dwd.de/rest/metadata/station/html/812300932711"
"390","Berleburg, Bad-Stünzel","8,3683","50,9837","611.0","https://cdc.dwd.de/rest/metadata/station/html/812300458599"
"2115","Helgoland","7,8920","54,1750","4.0","https://cdc.dwd.de/rest/metadata/station/html/812300668839"
"1051","Dresden-Strehlen","13,7750","51,0249","119.0","https://cdc.dwd.de/rest/metadata/station/html/812300563431"
"7412","Neuhütten/Spessart","9,4238","50,0083","340.0","https://cdc.dwd.de/rest/metadata/station/html/812300021287"
"5064","Tönisvorst","6,4437","51,2897","37.0","https://cdc.dwd.de/rest/metadata/station/html/812300231527"
"2575","Kirchberg/Jagst-Herboldshausen","9,9800","49,1804","432.0","https://cdc.dwd.de/rest/metadata/station/html/812300827879"
"4548","Schönwald/Ofr.-Brunn","12,0791","50,1847","608.0","https://cdc.dwd.de/rest/metadata/station/html/812300129831"
"6163","Dörnick","10,3519","54,1654","27.0","https://cdc.dwd.de/rest/metadata/station/html/812300094887"
"4748","Sondershausen","10,8800","51,3691","185.0","https://cdc.dwd.de/rest/metadata/station/html/812300524071"
"257","Baden-Baden-Geroldsau","8,2457","48,7270","240.0","https://cdc.dwd.de/rest/metadata/station/html/812300941415"
"3485","Neuburg/Kammel-Langenhaslach","10,3773","48,3114","487.0","https://cdc.dwd.de/rest/metadata/station/html/812300620775"
"5158","Ummendorf","11,1759","52,1601","159.0","https://cdc.dwd.de/rest/metadata/station/html/812300645735"
"3509","Stechlin-Menz","13,0421","53,1020","78.0","https://cdc.dwd.de/rest/metadata/station/html/812300381863"
"2564","Kiel-Holtenau","10,1424","54,3776","28.0","https://cdc.dwd.de/rest/metadata/station/html/812300199719"
"3098","Lüdenscheid","7,6425","51,2452","387.0","https://cdc.dwd.de/rest/metadata/station/html/812300875943"
"5279","Wesertal-Lippoldsberg","9,5749","51,6194","167.0","https://cdc.dwd.de/rest/metadata/station/html/812300834151"
"4336","Saarbrücken-Ensheim","7,1077","49,2128","319.0","https://cdc.dwd.de/rest/metadata/station/html/812300560295"
"7106","Bielefeld-Deppendorf","8,4565","52,0714","105.0","https://cdc.dwd.de/rest/metadata/station/html/812300174759"
"3679","Kiefersfelden-Gach","12,1665","47,6187","518.0","https://cdc.dwd.de/rest/metadata/station/html/812300151655"
"7420","Naumburg/Saale-Kreipitzsch","11,7113","51,1045","246.0","https://cdc.dwd.de/rest/metadata/station/html/812300588967"
"1869","Grünow","13,9339","53,3154","56.0","https://cdc.dwd.de/rest/metadata/station/html/812300320103"
"5800","Zwiesel","13,2385","49,0280","615.0","https://cdc.dwd.de/rest/metadata/station/html/812300722471"
"1684","Görlitz","14,9506","51,1621","238.0","https://cdc.dwd.de/rest/metadata/station/html/812300449895"
"2968","Köln-Stammheim","6,9777","50,9894","43.0","https://cdc.dwd.de/rest/metadata/station/html/812300757415"
"6159","Dörpen","7,3197","52,9542","8.0","https://cdc.dwd.de/rest/metadata/station/html/812300515367"
"7410","Neu-Ulrichstein","9,0224","50,7513","350.0","https://cdc.dwd.de/rest/metadata/station/html/812300777383"
"19172","Wacken","9,3880","54,0246","48.0","https://cdc.dwd.de/rest/metadata/station/html/814758927"
"1443","Freiburg","7,8343","48,0232","236.0","https://cdc.dwd.de/rest/metadata/station/html/812300590823"
"7432","Wittingen-Vorhop","10,6628","52,6423","71.0","https://cdc.dwd.de/rest/metadata/station/html/812300340071"
"3126","Magdeburg","11,5827","52,1029","79.0","https://cdc.dwd.de/rest/metadata/station/html/812300702503"
"6272","Salzungen, Bad-Gräfen-Nitzendorf","10,2518","50,8426","284.0","https://cdc.dwd.de/rest/metadata/station/html/812300336935"
"4393","Sankt Peter-Ording","8,6031","54,3279","5.0","https://cdc.dwd.de/rest/metadata/station/html/812300142951"
"2712","Konstanz","9,1307","47,6952","428.0","https://cdc.dwd.de/rest/metadata/station/html/812300240231"
"2074","Hechingen","8,9800","48,3752","518.0","https://cdc.dwd.de/rest/metadata/station/html/812300415527"
"6158","Weidenbach-Weiherschneidbach","10,6085","49,2249","454.0","https://cdc.dwd.de/rest/metadata/station/html/812300840999"
"3244","Memmingen","10,1384","47,9821","614.0","https://cdc.dwd.de/rest/metadata/station/html/812300677543"
"3271","Metten","12,9189","48,8548","314.0","https://cdc.dwd.de/rest/metadata/station/html/812300383719"
"3426","Muskau, Bad","14,7008","51,5660","127.0","https://cdc.dwd.de/rest/metadata/station/html/812300001319"
"282","Bamberg","10,9206","49,8743","240.0","https://cdc.dwd.de/rest/metadata/station/html/812300961383"
"3083","Lübben-Blumenfelde","13,8797","51,9267","57.0","https://cdc.dwd.de/rest/metadata/station/html/812300263335"
"3379","München-Stadt","11,5429","48,1632","515.0","https://cdc.dwd.de/rest/metadata/station/html/812300208423"
"3137","Mainz-Lerchenberg (ZDF)","8,2049","49,9658","199.0","https://cdc.dwd.de/rest/metadata/station/html/812300754279"
"2578","Kirchdorf/Poel","11,4341","53,9995","14.0","https://cdc.dwd.de/rest/metadata/station/html/812300251495"
"5676","Wolfsburg (Südwest)","10,6892","52,3962","82.0","https://cdc.dwd.de/rest/metadata/station/html/812300984487"
"6157","Wangerland-Hooksiel","8,0809","53,6411","4.0","https://cdc.dwd.de/rest/metadata/station/html/812300809191"
"3621","Reimlingen","10,5067","48,8253","435.0","https://cdc.dwd.de/rest/metadata/station/html/812300033127"
"7396","Hoherodskopf/Vogelsberg","9,2246","50,5084","740.0","https://cdc.dwd.de/rest/metadata/station/html/812300071207"
"4878","Oberharz am Brocken-Stiege","10,8811","51,6646","504.0","https://cdc.dwd.de/rest/metadata/station/html/812300334503"
"2794","Kyritz","12,4093","52,9362","40.0","https://cdc.dwd.de/rest/metadata/station/html/812300438631"
"4036","Querfurt-Mühle Lodersleben","11,5412","51,3895","206.0","https://cdc.dwd.de/rest/metadata/station/html/812300527207"
"7373","Borkum-Flugplatz","6,7024","53,5984","3.0","https://cdc.dwd.de/rest/metadata/station/html/812300633895"
"2700","Kösching","11,4872","48,8302","416.0","https://cdc.dwd.de/rest/metadata/station/html/812300734311"
